,Entries + Exits,Line_Astoria,Line_Brighton,Line_Broadway,Line_Manhattan Bridge,Line_4th Av,Line_Culver,Line_West End,Line_Sea Beach,Line_Jamaica,Line_Myrtle Av,Line_Canarsie,Line_Franklin Shuttle,Line_8th Av,Line_Concourse,Line_6th Av,Line_Liberty Av,Line_Rockaway,Line_63rd St,Line_Queens Blvd,Line_Queens,Line_Crosstown,Line_7Av,Line_Clark St,Line_Eastern Pky,Line_Nostrand,Line_Pelham,Line_Jerome Av,Line_Lexington Av,Line_White Plains Rd,Line_Dyre Av,Line_Flushing,Line_Lexington,Line_Second Av,Line_Staten Island,Line_Fulton St,Line_Lenox,Line_Shuttle,Line_Archer,Division_BMT,Division_IND,Division_IRT,Structure_At Grade,Structure_Elevated,Structure_Open Cut,Structure_Subway,Structure_Viaduct,Borough_Bk,Borough_Bx,Borough_M,Borough_Q,ConnectingLine_N,ConnectingLine_Q,ConnectingLine_R,ConnectingLine_D,ConnectingLine_W,ConnectingLine_B,ConnectingLine_F,ConnectingLine_M,ConnectingLine_A,ConnectingLine_C,ConnectingLine_E,ConnectingLine_S,ConnectingLine_J,ConnectingLine_Z,ConnectingLine_1,ConnectingLine_2,ConnectingLine_3,ConnectingLine_L,ConnectingLine_G,ConnectingLine_5,ConnectingLine_4,ConnectingLine_7,ConnectingLine_6,DaytimeRoutes_N,DaytimeRoutes_Q,DaytimeRoutes_R,DaytimeRoutes_D,DaytimeRoutes_W,DaytimeRoutes_B,DaytimeRoutes_F,DaytimeRoutes_M,DaytimeRoutes_A,DaytimeRoutes_C,DaytimeRoutes_E,DaytimeRoutes_S,DaytimeRoutes_J,DaytimeRoutes_Z,DaytimeRoutes_1,DaytimeRoutes_2,DaytimeRoutes_3,DaytimeRoutes_L,DaytimeRoutes_G,DaytimeRoutes_5,DaytimeRoutes_4,DaytimeRoutes_7,DaytimeRoutes_6,Car-free commute (% of commuters),Disabled population,Foreign-born population,Median household income (2018$),"Median rent, all (2018$)",Moderately rent-burdened households,Percent Asian,Percent Hispanic,Percent black,Percent white,Population,Poverty rate,Public housing (% of rental units),Unemployment rate
Entries + Exits,1.0,-0.0034079631020917825,0.011060538992487037,0.013064530666228976,-0.009834241191508003,-0.01684211161991629,0.02139608756667386,-0.0331999649263313,-0.02144487344768026,-0.04689369622334333,-0.014438771366772017,-0.02274718837228038,-0.023177847262580216,0.07410668994134108,0.0029799031541645105,0.018445732461253774,-0.029200532670413757,-0.0651539101267635,0.006551743254269327,0.018899427633685875,0.03575748502243501,-0.02527366214524911,0.021085838657516464,-0.0001940405229725677,-0.0025362088709192272,-0.010461526029053083,-0.021545206015836496,-0.004797760664310468,0.09091817695295312,-0.024389926668070612,-0.02743037258579035,0.0614036099895459,0.09546491970390462,0.039373487161456534,,0.07410668994134108,-0.024389926668070612,0.0417655004265772,0.045503851677878085,-0.07743223501804909,0.035541788773915096,0.038136273758876446,-0.04389869949636366,-0.0865581254776413,-0.03902850252480884,0.12442910296666053,-0.04082529725784758,-0.09036428900704085,-0.04209679575864969,0.13452877140919012,-0.017148210523034727,0.05423504761198612,0.06658557302961171,0.0499982440330774,0.0492303350861092,,0.05238059776675664,0.030015822257805833,0.04563483955340867,0.05048141320933532,0.08174671099411611,0.1256654217802388,0.032691580191355554,-0.013557103972501072,0.005002311203375906,0.041605683043055106,0.024960697370740487,0.04467812966617937,-0.006187665514072048,-0.03143361645331067,0.02398488816624532,0.06326884199207786,0.10108990965741516,0.05921954167707617,0.003885225627044691,0.02294096028111871,0.008679624118916422,0.046355344283437475,0.009417710174221033,0.04578655553736904,0.033804346637792665,0.0537735456754744,0.04885830264215443,0.08243607665117388,0.13518533678016925,0.007870703630159596,-0.02693124565987678,-0.00926115917909499,0.021085838657516464,0.008288341334679261,0.0256080618707931,-0.02274718837228038,-0.029379117121389537,0.018572455706114627,0.06398393652532935,0.0614036099895459,0.05950934514538476,0.10143304012077228,-0.06918694473420643,-0.028700977393681288,0.10266384252316896,0.11155388773197572,-0.0829128992885021,0.026892627965590138,-0.0471269586751139,-0.06256781104135431,0.07950714630560986,0.06617976271156154,-0.0738142973276483,-0.040831848531047335,-0.07810029260146317
Line_Astoria,-0.0034079631020917825,1.0,-0.03793498891061934,-0.06313041025940616,-0.013009512194506226,-0.024542534294586252,-0.03724257945516872,-0.023561268802997276,-0.018458823547273375,-0.036577382538995555,-0.017243121294942147,-0.03324592122914509,-0.009187719899829621,-0.048421204201957016,-0.021751237282792605,-0.036591628937842534,-0.01726585763240382,-0.025498354287953922,-0.01126472449386662,-0.03113153208302415,-0.0339993775237872,-0.021756743059417195,-0.04226451296106284,-0.017265857632404534,-0.0288202866000625,-0.017272673046254926,-0.02804672023493451,-0.023699282624047722,-0.03602690468916804,-0.0345755645266189,-0.01439694917355671,-0.03459538601142605,-0.03797543141817768,-0.01126472449386664,,-0.048421204201957016,-0.0345755645266189,-0.01963031907143989,-0.01302141404241008,0.2183920272040419,-0.09758408535088878,-0.11012722589764429,-0.01960005653710036,0.11566167058993274,-0.033898834591856705,-0.07893736231324032,-0.02275103790955923,-0.10029867140420616,-0.05723889728487688,-0.0036557446293328773,0.1832569589214306,0.40992394308786323,0.38396112276346295,0.07622988074740725,-0.045649402682093915,,-0.04846749122957863,-0.04948830824617931,-0.04514056912080233,-0.054727881694211555,-0.05167105897046755,-0.037342070305157134,-0.02881741658010901,-0.041568151342886814,-0.0353044737156083,-0.04793314609965781,-0.05676902716317347,-0.04838376209334164,-0.03728942299798055,-0.029624549766797733,-0.010354450327212937,0.006031550768977348,-0.03788988745055829,-3.072472185620527e-05,0.5175275039843819,-0.03982928898371872,0.09931653519678371,-0.04038811066878802,0.5558736849567689,-0.04570855496158676,-0.04451317658924748,-0.040451097082331945,-0.04842809962130514,-0.045712632691785896,-0.03260352134000701,-0.024598499447112374,-0.03850638220365602,-0.03181353790151473,-0.04226451296106284,-0.050603333625196124,-0.042169033032497784,-0.03324592122914509,-0.027220045655038643,-0.04894465057233229,-0.03860691760729237,-0.03459538601142605,-0.04402119466064572,0.053696625319463315,-0.10258336266827937,-0.03287757528093396,0.05399605603165348,0.05295167479763263,-0.08327441452734058,0.016055815051414398,-0.055075272799969606,-0.08198326775324959,0.10364324970245921,0.11780887250619032,-0.1038392315591049,0.006507191884639581,-0.08480092395839711
Line_Brighton,0.011060538992487037,-0.03793498891061934,1.0,0.578241889849757,-0.025130161212170658,0.0025257168804036587,-0.037758893011004484,0.006379523490306666,0.029876745441456354,-0.07065564843486896,-0.03330812189298553,0.04856553715453835,-0.017747697131371577,-0.09353407333723537,-0.042016340913349076,-0.070683167860223,-0.033352041128176795,-0.049254556536862136,-0.021759796855494767,-0.060136030339295474,-0.06567577826991734,-0.042026976289380805,-0.08164134122675784,-0.03335204112817838,-0.05567145313460251,-0.033365206298879305,-0.05417717362793843,-0.04577933315644314,-0.06959230363737769,-0.06678878481874616,-0.02781023979113373,-0.06682707350330529,-0.07335622576559975,-0.021759796855494996,,-0.09353407333723537,-0.06678878481874616,-0.037919414312856024,-0.025153151724962988,0.42186261629453536,-0.18850082616054367,-0.21273010849903198,-0.037860956904515415,-0.1176529720816781,0.4161796571142086,-0.07779880059149905,0.009692801436341568,0.16419220838496687,-0.110566998583025,0.016196926971114453,-0.1236142258440066,0.3215526025287227,0.6370749360399449,0.22733937398164925,0.05561440953022951,,0.4270588977405434,0.012251658802458288,-0.029312606749439966,-0.08090342668194521,-0.07390836770462947,-0.03833901704618172,0.029956178397302056,-0.08029619626935822,-0.06819680113438166,-0.06513396422066907,-0.061115570740579675,-0.03870173360440367,0.029907362071092965,-0.057225028913227734,-0.009111127250047344,0.024208521428142078,-0.03982055623035713,-0.015157677377205433,0.26192318565619116,0.7920505629732937,0.28113793405171084,-0.014245520737470868,0.359094530678438,0.39999086890025504,-0.02717078954333655,-0.07813840947221848,-0.09354739305262443,-0.0883019910202615,-0.0629794365160581,-0.047516328624870624,-0.07438185060343341,-0.06145344454438268,-0.08164134122675784,-0.0977492401607061,-0.08145690494955377,0.04856553715453835,-0.052580306262567024,-0.09454520207724827,-0.07457605242000642,-0.06682707350330529,-0.08503468093457923,0.0006355351374961111,-0.052015931559509676,0.07323234683759243,0.06884494280513875,0.06689916658333278,-0.058990016508581475,-0.008316482634827265,-0.20860295544449395,-0.024422251838498565,0.192521194492956,-0.08777083059152327,-0.08796074618802216,-0.07017364876953698,-0.10073205034416643
Line_Broadway,0.013064530666228976,-0.06313041025940616,0.578241889849757,1.0,0.20607362032102203,-0.04526530979400889,-0.11972164218374876,-0.07574109619402845,-0.05933855012701133,-0.024212375973242863,-0.05543049992788741,-0.030913198704560198,-0.029535250523021073,-0.15565694343356123,-0.06992248885872816,-0.11762906787619871,-0.05550358916332725,-0.08196813682069626,-0.03621208130271068,-0.10007679916914367,-0.10929590189296443,-0.06994018797164478,0.6694794598577147,-0.055503589163329835,-0.09264696727355523,-0.055525498293960064,-0.09016022664156825,-0.07618476152392575,-0.11581368034340314,-0.11114813810197974,-0.04628106921458142,-0.03758065259664339,-0.05421022004689113,-0.03621208130271069,,-0.15565694343356123,-0.11114813810197974,0.061605023818582995,-0.04185921317798179,0.21223128882503906,-0.31369811436587997,0.1042451820624174,-0.06300720814305148,-0.1508968091703579,0.21542322511217235,0.08104791042976697,-0.07313649214861663,-0.0694789876291901,-0.13529472809151552,0.33214997544553754,-0.20571554165517,0.21816367683629104,0.4198371888966,0.25530533491845564,-0.049902023054994166,,0.2133696813585668,-0.0864529800885281,-0.0865450544273623,-0.07492858925641702,-0.06066404021613511,-0.028419377177782177,0.05186821732839171,-0.07078475696986615,-0.04116735055636066,0.6100484183551915,-0.0023036410558049526,0.04772585683085094,-0.028221236790878495,-0.09523238720090994,-0.09637516260545288,-0.05335837839695552,-0.03132816317776921,-0.05055406478547322,0.17157520136684848,0.5222541075762802,0.25792155269839184,-0.10835864062452054,0.3426460283298123,0.18192024098847748,-0.12328850734920498,-0.1300358847770147,-0.15567910975339752,-0.146949849727542,-0.10480872090230028,0.021538536301486038,-0.03447848475466884,0.0034158989633446524,0.6694794598577147,-0.01959449602933864,0.03008404109801709,-0.030913198704560198,-0.08750276199479362,-0.15733963727412736,-0.12410750391662972,-0.03758065259664339,-0.14151247826449403,0.19534032912511753,-0.15030425017031365,-0.08253337364510366,0.2764826558437429,0.24809824687697057,-0.26415144534623136,-0.05218389208746201,-0.18642671308713718,-0.15686566450189482,0.30232355917992193,0.028037271368477317,-0.20181874742264289,-0.16936519141307457,-0.17986464590584142
Line_Manhattan Bridge,-0.009834241191508003,-0.013009512194506226,-0.025130161212170658,0.20607362032102203,1.0,-0.01625828453071035,-0.024671472235582415,-0.0156082418997855,-0.012228109849272676,0.35567094448699843,-0.011422763796343102,-0.02202387252844674,-0.006086436002366832,-0.032076789861458024,-0.01440918042097321,-0.024240247872235506,-0.011437825559697143,-0.016891470705608248,-0.007462354693408268,-0.02062318831492418,-0.022523002189333563,-0.014412827741248711,-0.027998269006165605,-0.011437825559697022,-0.01909209595782335,-0.01144234045356415,-0.01857964431299045,-0.015699669620528274,-0.023866144391066105,-0.02290469921061517,-0.009537307485375955,-0.02291783002000882,-0.0251569524875612,-0.007462354693408305,,-0.032076789861458024,-0.02290469921061517,-0.01300417100618994,-0.008626079603375612,0.1446745342148773,-0.06464490611525131,-0.0729541518300571,-0.012984123488357981,-0.05955556525044604,-0.022456397185332596,0.0744960980127173,-0.01507150171464449,-0.06644319279209278,-0.03791810035228873,0.1277050404611586,-0.04239254642517984,0.19600774120475223,0.1825582220831883,0.22732042753880133,-0.030240600606033025,,-0.032107452858852,-0.032783696530776896,-0.02990352209902101,-0.03625466961428855,-0.034229667102074555,-0.024737380284355744,-0.019090194703435155,0.22815094649235548,0.2708797589783223,-0.03175347412725134,-0.03760683330710752,-0.03205198621045353,-0.024702503898339938,-0.01962488280230392,-0.036906245633611987,-0.03065118376025943,-0.025100283598001146,0.18892212452325913,0.3428378386376374,0.3266317960088333,0.26293222050967635,-0.026755239985783153,0.3682403954164903,-0.030279786232874955,-0.029487903802720483,-0.02679696554764491,-0.03208135775523514,-0.030282487538982845,-0.021598312557552842,-0.016295358834555466,0.33785340117648405,0.4089300672807866,-0.027998269006165605,-0.03352234884978326,-0.027935018005800942,-0.02202387252844674,-0.018032010952355244,-0.03242354867307533,-0.025575282641103675,-0.02291783002000882,-0.029161988716561806,0.07958101340980561,-0.10349282783357715,-0.0864837180244041,0.1852861649996923,0.18489984768101156,-0.10783622854015397,0.030021287472061228,-0.10566773432909757,-0.07638330088818024,0.13323794842268574,-0.019221171607051467,-0.09591083292846092,-0.0774208647767611,-0.10208256137924909
Line_4th Av,-0.01684211161991629,-0.024542534294586252,0.0025257168804036587,-0.04526530979400889,-0.01625828453071035,1.0,-0.046542902177025385,-0.029445055769687714,-0.023068413392200313,-0.04571159039758191,-0.02154912252045038,-0.041548187107065725,-0.011482103409148195,-0.06051308484629062,-0.02718301803721478,-0.04572939444761259,-0.021577536640682442,-0.03186587574386198,-0.014077783489735596,-0.038905786697864486,-0.04248979864765308,-0.027189898732016486,-0.0528189271818354,-0.02157753664068253,-0.036017370428253044,-0.021586054019036998,-0.0350506268732608,-0.02961753479413246,-0.04502364565556873,-0.04320987270537837,-0.017992196212914154,-0.043234644067670344,-0.04745876401375958,-0.014077783489735632,,-0.06051308484629062,-0.04320987270537837,-0.024532458106067894,-0.016273158541876713,0.2729295045375453,-0.12195306031334661,-0.13762850954378905,-0.024494638325696018,-0.11235198374384453,-0.04236414784918863,0.14053740163001946,-0.02843249171623608,0.24469451041560022,-0.07153275729082256,-0.12731122023062053,-0.07997383060328334,0.10441326734196306,-0.024815895235098872,0.4288415511141885,0.07124561713249333,,-0.019800741651348756,-0.021735873988088353,-0.013258213401507617,-0.06839468375480577,-0.06457450257817184,-0.046667238164654956,-0.03601378369876464,-0.051948668162492107,-0.04412080716736837,-0.05990314748845117,-0.034754300883206544,-0.01964061235553478,-0.04660144362239568,0.02521595810953928,-0.03293751479364562,-0.015520957625461908,-0.04735185776357533,-0.06194026433331663,0.10197800843489839,-0.001884128137903267,0.4960234436565006,0.04418316054664611,-0.044151279254199524,-0.014402836652383257,-0.055629133478142544,-0.05055265993921175,-0.060521702209340965,-0.05712812116542831,-0.040745365292999235,-0.030741306596304266,-0.04812230533744982,-0.03975810494645386,-0.0528189271818354,-0.06324014182701614,-0.05269960373431704,-0.041548187107065725,-0.03401751276926529,-0.061167247731020724,-0.04824794672763398,-0.043234644067670344,-0.05501429242495247,0.0034630003992087164,-0.0656256144156798,0.018158507866122928,0.04918320472390325,0.028753106832836915,-0.10880389519259046,0.18031399282627417,-0.013800004979350777,-0.13050931880219088,0.037934123706559214,-0.14914570531401794,-0.04639467085749722,-0.086749439633533,-0.05592567710488022
Line_Culver,0.02139608756667386,-0.03724257945516872,-0.037758893011004484,-0.11972164218374876,-0.024671472235582415,-0.046542902177025385,1.0,0.008044482726020616,0.031581099172527556,-0.06936600421821729,-0.0327001644583255,-0.06304816124447449,-0.017423756788719245,-0.0638970978708164,-0.041249436465309514,0.9825213364152035,-0.032743282056436764,-0.04835553635392588,-0.021362625549424495,-0.05903839574875198,-0.06447702927396558,-0.04125987771884269,-0.08015118034245511,-0.03274328205643763,-0.054655308365459135,-0.03275620692948991,-0.05318830323765204,-0.04494374458631375,-0.06832206815164833,-0.06556972063935483,-0.027302632604663472,-0.06560731045861853,-0.0720172891850204,-0.02136262554942472,,-0.0638970978708164,-0.06556972063935483,-0.03722728913318884,-0.024694043113392166,-0.15156336919412394,0.3632620544577441,-0.20884724619133913,-0.03716989872034589,0.016212829938092903,-0.06428635785473755,-0.013556370838551197,0.12036284599311643,0.13467505161606938,-0.10854887132167028,0.04229163438509038,-0.12135795369893732,-0.006355195147114016,-0.016692310657811817,-0.059269122407481244,0.14757039517235923,,0.07548738915830451,0.7251454541633041,0.18005177141003592,-0.07834447213954558,-0.07142953691531025,-0.036165265150932435,-0.05464986560814864,-0.047208967064811716,-0.030559194675307183,-0.06274750975687943,-0.08288350037000786,-0.06380908701304688,-0.03602298403964826,0.19913834602783334,-0.10565221545986606,-0.08774573016415688,-0.03763822687652387,-0.06656744422803618,-0.03778980174070392,-0.042749443932123925,-0.09383206131131062,0.1501360617920018,-0.06699827759982038,0.08872616406986575,0.8068384103041198,0.18189743080753565,-0.06391330288437468,-0.05744875254103826,-0.022768281451419313,-0.04664903549594285,-0.07302419377656354,-0.06033176381388853,-0.08015118034245511,-0.09596506939661695,-0.07997011049360514,-0.06304816124447449,0.17834162730676376,-0.09281951310868171,-0.07321485091899924,-0.06560731045861853,-0.08348258302151486,0.051166433877159925,-0.050312160051503386,-0.025777181342193957,0.019929566424244694,0.04139311158687133,-0.07744174364593757,0.11884617163288085,-0.15635909829396002,-0.15498114832275758,0.2038393149908286,-0.09239336509567664,0.05106302966221765,0.010768330291742885,-0.09977366051484042
Line_West End,-0.0331999649263313,-0.023561268802997276,0.006379523490306666,-0.07574109619402845,-0.0156082418997855,-0.029445055769687714,0.008044482726020616,1.0,0.18002855505423776,-0.04388393862843767,-0.020687540336250355,-0.03988699752668762,-0.011023023197177611,-0.05809363617662487,-0.026096180091425822,-0.04390103083266915,-0.020714818396312416,-0.03059180665827433,-0.013514922174326668,-0.037350246204308025,-0.040790961328854375,-0.02610278568063913,-0.05070710816900731,-0.02071481839631336,-0.0345773152866451,-0.020722995230804217,-0.033649224304298925,-0.02843335941556004,-0.04322349945806921,-0.04148224521292812,-0.017272827909310565,-0.04150602616067188,-0.04556125633010978,-0.013514922174326772,,-0.05809363617662487,-0.04148224521292812,-0.023551595483062966,-0.015622521214670393,0.2620171716372538,-0.11707710381094501,-0.13212581347120103,-0.023515287822221228,0.20448279847042425,0.016601662948030213,-0.20951757630473844,0.05544658991329025,0.23491107582118365,-0.06867271743490677,-0.12222103249348566,-0.07677629772997513,0.028041326360959865,-0.020726691242862992,-0.06866185352885093,0.5161353143453035,,-0.05814916932138627,-0.017690032042761386,-0.054157674153911976,-0.06566011110753267,-0.06199266933080275,-0.04480137745731874,-0.03457387196263379,-0.04987164405446762,-0.04235675847481015,-0.05750808548049137,-0.06810898787983576,-0.05804871477759124,-0.04473821352822498,-0.035542234944647935,-0.06684016747762235,-0.05551174931912323,-0.045458624431258955,-0.0594637538311552,0.058230620520879475,0.001984227434172531,-0.05936222601220136,0.583371403436436,-0.04238601221935828,-0.054839118643612725,-0.008043420778329268,-0.04853145136674189,-0.05810190899819911,-0.0548440109253822,-0.03911627432691251,-0.029512200304050634,-0.04619826778547826,-0.03816848686029192,-0.05070710816900731,-0.06071165931118515,-0.050592555540180904,-0.03988699752668762,-0.03265741641615396,-0.05872164416402959,-0.04631888575146908,-0.04150602616067188,-0.05281469779251511,-0.1086400963583819,-0.02138091689814278,0.22267981284821536,-0.10342259254346992,-0.0905233323291086,0.09431923645240887,0.2658117158198122,-0.07517312244683856,-0.1262174126481898,0.04880094843983167,0.1104878008956512,0.05019667724190545,-0.07672413216942087,-0.024137009373308132
Line_Sea Beach,-0.02144487344768026,-0.018458823547273375,0.029876745441456354,-0.05933855012701133,-0.012228109849272676,-0.023068413392200313,0.031581099172527556,0.18002855505423776,1.0,-0.034380401432312566,-0.016207431776567336,-0.031249040759722468,-0.008635869394619213,-0.045512836696952864,-0.020444772630590805,-0.03439379213654995,-0.016228802480395786,-0.023966823086604874,-0.010588120943609093,-0.029261650121527122,-0.031957241513123374,-0.02044994770866972,-0.03972594048777059,-0.01622880248039643,-0.02708922711044402,-0.016235208533749844,-0.026362124176294792,-0.02227581072549246,-0.03386298744194672,-0.03249882046389388,-0.013532211919750946,-0.032517451392553916,-0.03569447801056565,-0.01058812094360917,,-0.045512836696952864,-0.03249882046389388,-0.018451245088436475,-0.012239296825493958,0.20527454518886942,-0.09172280231347756,-0.1035125526259676,-0.018422800240643314,-0.0481336301253242,0.3998725408241986,-0.1641442998421953,0.08310828378846644,0.18403856490665263,-0.05380090453708687,-0.09575275811444417,-0.060149567676519265,0.38530230272906896,0.003244544300485089,-0.053792393326312735,0.06934164849525026,,-0.045556343544089634,0.006125487838691483,-0.042429249430347094,-0.05144071039477236,-0.04856749243725678,-0.03509915905098598,-0.02708652947514971,-0.039071405080558556,-0.033183948507116784,-0.04505409327917505,-0.05335925665842751,-0.04547764350828373,-0.03504967394763876,-0.027845183075858777,-0.05236521291173689,-0.0434900851074645,-0.03561407214927299,-0.04658624069040701,0.48644277157549576,0.025415657829454142,-0.04650669980868009,0.08626556892129442,-0.03320686703978266,-0.04296311981304161,0.015446210753861723,-0.038021445481653766,-0.04551931795035927,-0.04296695261876466,-0.030645225928383694,-0.023121017058086266,-0.036193537808681564,-0.029902691994708058,-0.03972594048777059,-0.04756389886544595,-0.0396361954583311,-0.031249040759722468,-0.02558510291512598,-0.04600484282457951,-0.036288034661524596,-0.032517451392553916,-0.04137710899213357,-0.08121646225712793,0.005741362276449331,0.223827280897897,-0.08277732835375406,-0.08287904962051697,0.10378861395693985,0.2224548595865608,-0.05814873732299434,-0.09236525760752681,0.024800184463627285,0.10076899170374631,0.017822059327733942,-0.02966899980242821,-0.014567755450043697
Line_Jamaica,-0.04689369622334333,-0.036577382538995555,-0.07065564843486896,-0.024212375973242863,0.35567094448699843,-0.04571159039758191,-0.06936600421821729,-0.04388393862843767,-0.034380401432312566,1.0,-0.03211610049513286,-0.06192204583990647,-0.017112547698114013,-0.09018670307107388,-0.040512672300959125,-0.06815357916626714,-0.03215844796148564,-0.047491848764796306,-0.020981063561915904,-0.05798389954138933,-0.06332539258111217,-0.040522927061240985,-0.07871958460523058,-0.03215844796148446,-0.05367909932974984,-0.03217114198087864,-0.05223829666432094,-0.04414099566995215,-0.06710175447558314,-0.06439856717464357,-0.026814975002054882,-0.06443548559487217,-0.07073097445124363,-0.020981063561916143,,-0.09018670307107388,-0.06439856717464357,-0.036562365320414285,-0.024252978032315128,0.4067651194379916,-0.18175481331063784,-0.20511698512591503,-0.03650599996883618,0.21437790131213125,-0.06313812678098624,-0.14604939470650302,-0.042374846605429665,0.08974139712827929,-0.10661005893236737,-0.0058082721695193965,-0.006328958961333015,-0.0034485584119428535,-0.013739671040080562,-0.006691859288774781,-0.08502409621806277,,-0.09027291477284596,-0.06428280477580883,0.09597304759096793,-0.07608851801091625,-0.0692594522087096,-0.06955131046770245,-0.053673753786582144,0.8479907539990842,0.6332229704573841,-0.08927767257753488,-0.08056897033051841,-0.06172843491417899,-0.0694532524549337,-0.05517707618936914,-0.027234473772641286,0.0020683086704246763,-0.07057164490679618,0.04692898807034351,0.06792293871826514,0.058781924060818336,0.019224537973423172,-0.07522469968519496,0.08171336553636346,-0.08513427003870151,-0.08290782325571244,0.1218599068012116,-0.09019954610435577,-0.08514186499732913,-0.06072554672326174,-0.045815828048757785,0.9499044170273359,0.7480664892711277,-0.07871958460523058,-0.09425101872781297,-0.07854174887997366,-0.06192204583990647,-0.0506985775246942,-0.09116164582924048,-0.07190714630342811,-0.06443548559487217,-0.08199148445657752,0.05479098195440079,-0.11306164775232848,-0.014227245156665125,-0.009196240766010205,0.023668116911074236,0.09819148570527131,0.04630293498207759,0.05256738989213225,-0.02822427031789172,-0.04505544630528442,0.0013524397419873875,0.04574924174540453,-0.0030287159315964536,-0.061364362083404886
